Employee_ID,Name,Age,Gender,Department,Job_Role,Salary,Experience_Years,Joining_Date,Education,Performance_Score,Attrition,Marital_Status,Work_Location,Promotion_Status
36,Employee_36,39,Female,IT Support,Helpdesk Engineer,145587,15,2010-10-05,Master's,2,No,Divorced,Hyderabad,Promoted
37,Employee_37,23,Female,HR,HR Manager,67998,0,2012-08-27,Master's,2,No,Divorced,Bangalore,Promoted
38,Employee_38,26,Female,IT Support,Helpdesk Engineer,56289,4,2022-01-14,PhD,3,No,Married,Chennai,Not Promoted
39,Employee_39,34,Male,Sales,Sales Executive,130775,8,2020-05-15,PhD,1,No,Divorced,Hyderabad,Not Promoted
40,Employee_40,57,Male,Marketing,SEO Analyst,55349,13,2013-09-18,PhD,1,No,Single,Chennai,Not Promoted
41,Employee_41,26,Other,Marketing,SEO Analyst,128213,3,2011-07-10,High School,3,No,Married,Hyderabad,Promoted
42,Employee_42,37,Male,HR,HR Manager,65120,15,2013-07-13,Master's,2,No,Single,Mumbai,Promoted
43,Employee_43,52,Female,Operations,Logistics Coordinator,140559,28,2016-02-17,Bachelor's,2,No,Divorced,Mumbai,Promoted
44,Employee_44,35,Female,Finance,Financial Analyst,133464,13,2019-02-04,Master's,2,Yes,Divorced,Chennai,Not Promoted
45,Employee_45,59,Female,Sales,Sales Manager,52496,37,2018-11-15,Master's,2,Yes,Single,Mumbai,Not Promoted
46,Employee_46,42,Male,IT Support,IT Technician,114560,10,2016-07-01,Bachelor's,3,No,Married,Chennai,Promoted
47,Employee_47,31,Female,HR,HR Executive,41249,9,2013-03-22,PhD,5,Yes,Divorced,Mumbai,Not Promoted
48,Employee_48,26,Female,Finance,Accountant,68096,1,2016-02-11,PhD,1,No,Divorced,Chennai,Promoted
49,Employee_49,24,Female,IT Support,IT Technician,94852,2,2012-10-15,Bachelor's,3,No,Married,Delhi,Not Promoted
50,Employee_50,55,Male,Marketing,Marketing Specialist,146334,17,2011-09-11,Master's,3,Yes,Single,Bangalore,Not Promoted
51,Employee_51,34,Other,Sales,Sales Manager,31901,8,2011-01-18,PhD,2,No,Single,Chennai,Not Promoted
52,Employee_52,37,Other,Engineering,Senior Developer,58800,8,2017-08-19,Master's,1,No,Married,Chennai,Promoted
53,Employee_53,31,Female,Sales,Sales Executive,90674,3,2022-04-07,High School,1,No,Married,Bangalore,Promoted
54,Employee_54,35,Other,Engineering,QA Engineer,141999,2,2016-07-13,Bachelor's,1,No,Single,Delhi,Promoted
55,Employee_55,59,Female,IT Support,Helpdesk Engineer,119303,17,2019-08-23,High School,2,Yes,Single,Pune,Promoted
56,Employee_56,60,Other,Marketing,Marketing Specialist,125109,4,2022-12-10,PhD,2,Yes,Single,Pune,Promoted
57,Employee_57,59,Male,Engineering,Software Engineer,113444,26,2015-09-13,Master's,5,No,Divorced,Delhi,Not Promoted
58,Employee_58,59,Female,Engineering,Senior Developer,127330,12,2010-01-02,PhD,4,No,Single,Delhi,Promoted
59,Employee_59,28,Other,Sales,Sales Manager,27271,6,2016-02-20,Bachelor's,4,Yes,Single,Hyderabad,Not Promoted
60,Employee_60,31,Other,IT Support,Helpdesk Engineer,99281,1,2021-01-02,Master's,5,Yes,Divorced,Hyderabad,Not Promoted
61,Employee_61,22,Female,IT Support,IT Technician,77666,0,2012-03-11,Master's,1,No,Divorced,Pune,Not Promoted
62,Employee_62,34,Male,Finance,Accountant,98729,1,2019-01-07,High School,5,No,Married,Delhi,Promoted
63,Employee_63,53,Other,Engineering,QA Engineer,137160,21,2016-12-09,Master's,5,No,Divorced,Bangalore,Promoted
64,Employee_64,50,Other,Marketing,SEO Analyst,92261,16,2018-12-15,PhD,2,Yes,Single,Hyderabad,Promoted
65,Employee_65,22,Male,HR,HR Manager,72769,0,2022-02-13,Master's,3,No,Divorced,Mumbai,Promoted
66,Employee_66,24,Male,Operations,Operations Executive,80947,0,2020-11-17,High School,3,No,Married,Mumbai,Not Promoted
67,Employee_67,48,Female,Operations,Operations Executive,142587,6,2018-12-31,Bachelor's,4,No,Married,Chennai,Not Promoted
68,Employee_68,37,Female,Operations,Operations Executive,112998,7,2018-12-16,Bachelor's,1,No,Single,Pune,Promoted
69,Employee_69,33,Male,Sales,Sales Manager,113413,6,2020-09-09,High School,2,No,Married,Chennai,Promoted
70,Employee_70,50,Other,IT Support,IT Technician,114069,3,2010-11-20,Master's,2,No,Married,Bangalore,Not Promoted
71,Employee_71,42,Other,Operations,Operations Executive,147732,14,2015-12-28,Master's,2,Yes,Single,Mumbai,Not Promoted
72,Employee_72,48,Other,Marketing,SEO Analyst,92698,21,2015-03-01,Master's,5,Yes,Single,Mumbai,Not Promoted
73,Employee_73,43,Other,Operations,Operations Executive,45596,18,2018-02-15,PhD,4,No,Divorced,Mumbai,Not Promoted
74,Employee_74,60,Female,IT Support,Helpdesk Engineer,33008,29,2013-12-07,High School,1,No,Married,Pune,Not Promoted
75,Employee_75,34,Other,HR,HR Executive,71185,12,2010-07-14,PhD,1,No,Single,Mumbai,Not Promoted
76,Employee_76,29,Male,Operations,Logistics Coordinator,68868,4,2023-01-06,High School,5,No,Single,Delhi,Not Promoted
77,Employee_77,29,Female,Sales,Sales Executive,39791,6,2023-04-20,Bachelor's,5,Yes,Single,Chennai,Not Promoted
78,Employee_78,36,Male,Engineering,Senior Developer,127793,8,2017-03-06,Bachelor's,4,No,Married,Mumbai,Not Promoted
79,Employee_79,21,Male,Engineering,Senior Developer,89682,0,2013-04-07,Bachelor's,5,No,Divorced,Bangalore,Not Promoted
80,Employee_80,45,Male,Marketing,SEO Analyst,88582,11,2011-05-15,Bachelor's,5,No,Married,Pune,Not Promoted
81,Employee_81,26,Other,Finance,Financial Analyst,70516,2,2016-05-19,Master's,1,No,Married,Bangalore,Promoted
82,Employee_82,55,Female,Operations,Operations Executive,61467,20,2015-04-11,Master's,2,No,Married,Mumbai,Promoted
83,Employee_83,46,Other,Finance,Financial Analyst,106235,0,2020-03-09,Master's,5,No,Divorced,Mumbai,Not Promoted
84,Employee_84,42,Male,Operations,Operations Executive,148160,15,2019-06-04,PhD,5,No,Divorced,Hyderabad,Not Promoted
85,Employee_85,25,Female,HR,HR Executive,102422,0,2011-07-18,Bachelor's,4,Yes,Married,Bangalore,Promoted
86,Employee_86,52,Female,IT Support,Helpdesk Engineer,58517,5,2013-12-20,Bachelor's,5,No,Single,Chennai,Not Promoted
87,Employee_87,39,Other,Engineering,QA Engineer,122924,4,2014-06-02,Master's,2,Yes,Divorced,Chennai,Promoted
88,Employee_88,57,Other,IT Support,IT Technician,144607,30,2017-06-10,High School,1,No,Divorced,Hyderabad,Promoted
89,Employee_89,52,Other,Engineering,Software Engineer,27950,16,2020-01-20,Master's,4,No,Single,Hyderabad,Not Promoted
90,Employee_90,52,Male,Sales,Sales Executive,119734,1,2016-09-19,Master's,1,No,Divorced,Pune,Promoted
91,Employee_91,34,Male,Operations,Logistics Coordinator,39447,8,2012-09-22,Master's,5,No,Divorced,Hyderabad,Promoted
92,Employee_92,45,Male,Finance,Accountant,58771,10,2010-02-13,Master's,4,No,Divorced,Bangalore,Promoted
93,Employee_93,39,Other,IT Support,Helpdesk Engineer,70857,15,2021-05-10,High School,2,Yes,Single,Delhi,Not Promoted
94,Employee_94,34,Male,Engineering,Senior Developer,41208,1,2019-10-23,Master's,5,Yes,Divorced,Bangalore,Promoted
95,Employee_95,50,Male,Sales,Sales Executive,125637,20,2017-09-25,Bachelor's,2,No,Divorced,Mumbai,Promoted
96,Employee_96,57,Other,Marketing,Marketing Specialist,48097,6,2012-06-18,Bachelor's,4,Yes,Single,Chennai,Promoted
97,Employee_97,33,Female,HR,HR Executive,72322,5,2021-07-10,Master's,4,Yes,Married,Chennai,Promoted
98,Employee_98,23,Other,HR,HR Manager,146599,0,2016-07-12,Master's,4,No,Single,Bangalore,Not Promoted
99,Employee_99,58,Male,Engineering,Software Engineer,143639,27,2017-09-16,Bachelor's,5,Yes,Divorced,Bangalore,Not Promoted
100,Employee_100,34,Female,Sales,Sales Manager,48018,11,2017-05-19,PhD,3,No,Single,Mumbai,Promoted
101,Employee_101,31,Female,Sales,Sales Executive,58612,3,2011-05-26,High School,1,No,Single,Delhi,Not Promoted
102,Employee_102,36,Other,Marketing,Marketing Specialist,109186,10,2016-08-18,High School,5,No,Single,Bangalore,Promoted
103,Employee_103,39,Other,Finance,Financial Analyst,51925,12,2014-03-03,Master's,2,No,Divorced,Bangalore,Promoted
104,Employee_104,48,Male,Sales,Sales Executive,50649,11,2010-09-05,Bachelor's,2,No,Single,Bangalore,Not Promoted
105,Employee_105,32,Male,Finance,Accountant,129142,4,2023-04-23,Master's,1,Yes,Divorced,Delhi,Promoted
106,Employee_106,36,Other,Finance,Financial Analyst,72900,5,2023-01-07,PhD,4,No,Divorced,Pune,Not Promoted
107,Employee_107,37,Other,Finance,Accountant,134087,13,2019-11-19,High School,2,Yes,Single,Bangalore,Promoted
108,Employee_108,27,Female,IT Support,Helpdesk Engineer,140685,3,2013-06-19,Bachelor's,5,Yes,Single,Delhi,Promoted
109,Employee_109,58,Other,Finance,Accountant,45419,33,2020-09-18,PhD,2,No,Married,Bangalore,Not Promoted
110,Employee_110,28,Other,IT Support,IT Technician,97709,5,2016-03-26,PhD,1,No,Divorced,Hyderabad,Not Promoted
111,Employee_111,41,Male,Engineering,QA Engineer,76789,15,2014-03-20,Master's,1,No,Single,Chennai,Promoted
112,Employee_112,23,Female,Operations,Logistics Coordinator,112538,0,2017-03-03,PhD,2,No,Married,Mumbai,Promoted
113,Employee_113,28,Male,Sales,Sales Executive,65188,0,2011-05-27,Master's,5,Yes,Divorced,Hyderabad,Promoted
114,Employee_114,58,Female,IT Support,IT Technician,66429,22,2014-08-12,High School,1,No,Married,Pune,Not Promoted
115,Employee_115,60,Male,Marketing,SEO Analyst,98421,38,2013-05-26,Master's,1,No,Married,Bangalore,Promoted
116,Employee_116,45,Male,Engineering,QA Engineer,89736,3,2021-12-28,High School,4,Yes,Married,Bangalore,Promoted
117,Employee_117,43,Male,Finance,Accountant,93303,14,2023-05-12,High School,1,No,Divorced,Hyderabad,Not Promoted
118,Employee_118,47,Female,IT Support,Helpdesk Engineer,57167,22,2010-08-22,Master's,1,No,Married,Mumbai,Promoted
119,Employee_119,52,Female,Sales,Sales Manager,109030,12,2012-07-07,Bachelor's,4,No,Single,Bangalore,Promoted
120,Employee_120,21,Other,Finance,Accountant,98403,0,2011-04-18,Bachelor's,3,No,Divorced,Pune,Not Promoted
121,Employee_121,36,Other,Marketing,Marketing Specialist,103431,6,2019-07-11,High School,4,No,Divorced,Delhi,Promoted
122,Employee_122,58,Female,Finance,Accountant,52172,36,2011-09-10,PhD,5,No,Married,Chennai,Not Promoted
123,Employee_123,27,Other,Marketing,Marketing Specialist,116873,2,2016-05-14,Master's,5,No,Single,Bangalore,Not Promoted
124,Employee_124,56,Other,Operations,Logistics Coordinator,105726,5,2020-05-02,Master's,4,No,Married,Hyderabad,Not Promoted
125,Employee_125,55,Male,Marketing,Marketing Specialist,96806,10,2015-12-11,Master's,3,No,Married,Hyderabad,Promoted
126,Employee_126,47,Female,Marketing,SEO Analyst,86203,15,2011-07-19,High School,1,No,Single,Hyderabad,Not Promoted
127,Employee_127,40,Female,Operations,Operations Executive,98517,11,2011-01-21,PhD,1,No,Married,Bangalore,Promoted
128,Employee_128,22,Other,IT Support,IT Technician,76635,0,2020-02-29,PhD,5,Yes,Divorced,Bangalore,Promoted
129,Employee_129,24,Other,Finance,Accountant,61995,0,2014-01-20,Master's,2,No,Divorced,Mumbai,Promoted
130,Employee_130,31,Male,Marketing,SEO Analyst,90229,0,2015-03-04,Master's,1,No,Married,Pune,Promoted
131,Employee_131,32,Female,Sales,Sales Manager,103473,1,2018-03-31,Master's,1,No,Married,Chennai,Promoted
132,Employee_132,38,Other,Operations,Operations Executive,49190,4,2021-08-18,Bachelor's,5,No,Divorced,Pune,Promoted
133,Employee_133,39,Other,Engineering,Software Engineer,89239,9,2011-11-16,Bachelor's,5,Yes,Married,Delhi,Not Promoted
134,Employee_134,60,Male,Engineering,Senior Developer,56476,21,2017-05-01,Bachelor's,4,No,Single,Delhi,Not Promoted
135,Employee_135,39,Male,Operations,Operations Executive,94218,10,2015-03-22,Bachelor's,3,No,Married,Mumbai,Promoted
136,Employee_136,44,Female,Sales,Sales Manager,39055,7,2015-01-07,High School,2,No,Single,Bangalore,Promoted
137,Employee_137,22,Female,IT Support,Helpdesk Engineer,139260,0,2017-02-17,Bachelor's,1,Yes,Married,Mumbai,Not Promoted
138,Employee_138,58,Female,Finance,Financial Analyst,113231,27,2017-01-13,PhD,3,No,Single,Hyderabad,Not Promoted
139,Employee_139,57,Other,Operations,Logistics Coordinator,86449,30,2019-06-06,Master's,5,No,Married,Pune,Not Promoted
140,Employee_140,27,Male,Sales,Sales Manager,25706,2,2012-01-17,PhD,3,Yes,Married,Hyderabad,Promoted
141,Employee_141,56,Other,Sales,Sales Executive,112943,5,2019-10-30,High School,2,No,Single,Delhi,Promoted
142,Employee_142,42,Other,Finance,Accountant,85136,17,2019-03-28,PhD,4,No,Divorced,Pune,Promoted
143,Employee_143,22,Female,Sales,Sales Executive,135841,0,2011-02-25,Master's,3,No,Divorced,Bangalore,Not Promoted
144,Employee_144,55,Female,Sales,Sales Manager,96276,25,2018-04-21,Bachelor's,5,No,Divorced,Chennai,Not Promoted
145,Employee_145,34,Female,Operations,Operations Executive,129455,5,2019-08-06,Bachelor's,5,No,Married,Delhi,Not Promoted
146,Employee_146,59,Female,Finance,Accountant,52011,22,2018-04-02,PhD,3,No,Married,Delhi,Promoted
147,Employee_147,51,Female,Finance,Accountant,36056,23,2014-10-02,High School,4,No,Divorced,Mumbai,Promoted
148,Employee_148,51,Female,Marketing,SEO Analyst,52040,22,2013-03-05,Master's,5,No,Single,Delhi,Not Promoted
149,Employee_149,56,Male,Operations,Operations Executive,26815,12,2013-09-02,Bachelor's,3,No,Married,Bangalore,Promoted
150,Employee_150,21,Male,Operations,Operations Executive,123751,0,2021-09-06,High School,1,No,Divorced,Pune,Promoted
151,Employee_151,59,Male,HR,HR Manager,142136,8,2015-09-20,High School,3,Yes,Single,Delhi,Not Promoted
152,Employee_152,36,Other,Engineering,Software Engineer,103076,10,2010-03-02,High School,2,Yes,Single,Mumbai,Not Promoted
153,Employee_153,51,Other,HR,HR Manager,110514,4,2011-09-26,High School,5,Yes,Single,Mumbai,Not Promoted
154,Employee_154,50,Female,IT Support,Helpdesk Engineer,91309,14,2016-07-31,Bachelor's,5,Yes,Married,Pune,Promoted
155,Employee_155,40,Other,Marketing,SEO Analyst,27153,16,2023-01-11,Master's,1,No,Single,Pune,Promoted
156,Employee_156,38,Other,HR,HR Executive,67255,16,2023-03-25,Master's,3,No,Married,Chennai,Not Promoted
157,Employee_157,53,Other,HR,HR Manager,40173,14,2013-07-14,Master's,2,No,Divorced,Delhi,Promoted
158,Employee_158,27,Female,HR,HR Manager,29373,1,2022-11-14,Master's,1,Yes,Divorced,Pune,Not Promoted
159,Employee_159,59,Female,Finance,Financial Analyst,51164,21,2015-12-14,High School,3,No,Single,Mumbai,Promoted
160,Employee_160,34,Male,Operations,Logistics Coordinator,129704,5,2021-02-18,Master's,3,No,Divorced,Hyderabad,Not Promoted
161,Employee_161,58,Male,IT Support,Helpdesk Engineer,88890,33,2020-07-03,High School,4,No,Married,Chennai,Promoted
162,Employee_162,41,Female,Marketing,Marketing Specialist,128080,16,2011-07-14,PhD,5,No,Single,Delhi,Not Promoted
163,Employee_163,58,Female,Sales,Sales Manager,34147,35,2017-10-06,High School,5,No,Single,Chennai,Not Promoted
164,Employee_164,52,Other,Engineering,Software Engineer,98433,28,2010-01-22,Bachelor's,1,No,Married,Hyderabad,Not Promoted
165,Employee_165,22,Male,HR,HR Manager,148283,0,2015-06-22,Bachelor's,1,No,Married,Chennai,Not Promoted
166,Employee_166,60,Female,Marketing,Marketing Specialist,126712,20,2017-04-09,Master's,2,No,Single,Pune,Promoted
167,Employee_167,32,Male,Sales,Sales Executive,131636,2,2013-05-14,Bachelor's,2,No,Single,Pune,Promoted
168,Employee_168,26,Female,Operations,Operations Executive,128401,4,2014-07-23,PhD,4,Yes,Divorced,Chennai,Promoted
169,Employee_169,53,Other,Sales,Sales Executive,58889,0,2021-11-09,PhD,3,No,Married,Mumbai,Promoted
170,Employee_170,25,Female,Operations,Logistics Coordinator,56167,1,2019-03-06,Bachelor's,5,Yes,Married,Delhi,Not Promoted
171,Employee_171,30,Female,Finance,Financial Analyst,73557,8,2013-04-28,Bachelor's,5,No,Divorced,Mumbai,Promoted
172,Employee_172,32,Male,IT Support,Helpdesk Engineer,57254,5,2023-06-21,High School,4,No,Single,Bangalore,Promoted
173,Employee_173,26,Other,IT Support,Helpdesk Engineer,36980,2,2010-05-31,Master's,4,No,Married,Chennai,Not Promoted
174,Employee_174,41,Other,Engineering,Software Engineer,86907,17,2015-08-02,Master's,5,No,Single,Mumbai,Promoted
175,Employee_175,41,Other,HR,HR Manager,101413,3,2018-03-27,PhD,5,No,Single,Mumbai,Not Promoted
176,Employee_176,46,Female,Finance,Financial Analyst,41319,9,2013-12-27,PhD,1,No,Single,Hyderabad,Not Promoted
177,Employee_177,29,Female,Finance,Financial Analyst,144970,2,2010-10-05,Master's,5,No,Single,Hyderabad,Not Promoted
178,Employee_178,59,Other,IT Support,IT Technician,74420,4,2021-10-20,High School,2,No,Single,Mumbai,Not Promoted
179,Employee_179,51,Female,Operations,Operations Executive,110471,10,2015-06-01,Master's,2,No,Married,Pune,Not Promoted
180,Employee_180,28,Male,Engineering,QA Engineer,45540,3,2023-07-02,Bachelor's,4,No,Single,Bangalore,Promoted
181,Employee_181,44,Female,Operations,Logistics Coordinator,61946,0,2012-05-16,Master's,1,Yes,Married,Delhi,Promoted
182,Employee_182,42,Other,IT Support,Helpdesk Engineer,99211,12,2015-06-08,High School,5,No,Divorced,Delhi,Promoted
183,Employee_183,31,Other,Finance,Accountant,57463,0,2010-06-19,Bachelor's,4,Yes,Divorced,Pune,Promoted
184,Employee_184,32,Male,Marketing,SEO Analyst,97538,4,2018-05-16,High School,2,No,Married,Mumbai,Not Promoted
185,Employee_185,51,Other,Operations,Logistics Coordinator,84696,15,2019-06-09,Bachelor's,5,No,Married,Delhi,Promoted
186,Employee_186,50,Other,Engineering,QA Engineer,72824,24,2014-04-19,PhD,1,No,Divorced,Pune,Not Promoted
187,Employee_187,45,Other,IT Support,Helpdesk Engineer,104873,15,2013-04-05,Master's,5,No,Married,Chennai,Not Promoted
188,Employee_188,38,Female,Operations,Operations Executive,29294,12,2010-02-08,Bachelor's,4,No,Divorced,Bangalore,Promoted
189,Employee_189,39,Female,Marketing,SEO Analyst,81560,10,2012-10-17,PhD,1,No,Married,Bangalore,Promoted
190,Employee_190,31,Female,Sales,Sales Executive,139943,9,2015-07-15,Bachelor's,5,No,Married,Pune,Promoted
191,Employee_191,38,Female,Engineering,Software Engineer,139267,2,2020-05-28,High School,5,No,Married,Delhi,Promoted
192,Employee_192,43,Male,Sales,Sales Executive,121582,17,2010-07-31,Bachelor's,3,No,Married,Hyderabad,Promoted
193,Employee_193,32,Male,Finance,Financial Analyst,120001,5,2022-04-13,High School,2,No,Single,Hyderabad,Not Promoted
194,Employee_194,22,Other,IT Support,IT Technician,61786,0,2018-03-01,PhD,4,No,Married,Pune,Not Promoted
195,Employee_195,26,Other,Finance,Accountant,75861,0,2023-02-24,Master's,1,No,Married,Mumbai,Not Promoted
196,Employee_196,55,Other,Engineering,Senior Developer,73105,9,2020-12-08,PhD,5,No,Married,Chennai,Not Promoted
197,Employee_197,54,Female,Finance,Financial Analyst,70170,22,2016-07-28,Master's,5,No,Single,Mumbai,Not Promoted
198,Employee_198,50,Other,Marketing,Marketing Specialist,115190,12,2010-10-15,Bachelor's,2,Yes,Single,Hyderabad,Promoted
199,Employee_199,51,Male,Finance,Accountant,82935,13,2012-01-20,PhD,1,Yes,Divorced,Mumbai,Not Promoted
200,Employee_200,48,Male,Marketing,SEO Analyst,142195,12,2012-09-06,PhD,3,No,Married,Pune,Promoted
201,Employee_201,34,Male,Operations,Operations Executive,75215,10,2016-12-30,PhD,4,No,Married,Hyderabad,Promoted
202,Employee_202,53,Female,HR,HR Executive,75619,31,2020-05-02,Bachelor's,5,No,Divorced,Pune,Not Promoted
203,Employee_203,32,Female,IT Support,IT Technician,122310,1,2014-03-04,PhD,1,No,Divorced,Delhi,Promoted
204,Employee_204,27,Female,IT Support,Helpdesk Engineer,142218,1,2021-01-14,High School,3,No,Single,Bangalore,Not Promoted
205,Employee_205,58,Other,Marketing,Marketing Specialist,148320,17,2019-08-23,PhD,5,No,Married,Bangalore,Promoted
206,Employee_206,52,Male,Finance,Accountant,63271,25,2021-09-24,Bachelor's,1,No,Married,Bangalore,Promoted
207,Employee_207,23,Other,Marketing,SEO Analyst,142377,1,2012-02-07,Bachelor's,2,No,Married,Bangalore,Promoted
208,Employee_208,40,Other,Sales,Sales Manager,108766,14,2019-06-22,High School,4,Yes,Single,Hyderabad,Not Promoted
209,Employee_209,39,Male,Finance,Accountant,34694,2,2014-06-02,High School,4,No,Single,Bangalore,Promoted
210,Employee_210,27,Male,Engineering,Software Engineer,118121,3,2011-02-10,PhD,4,Yes,Married,Delhi,Not Promoted
211,Employee_211,30,Female,Engineering,Software Engineer,79611,1,2022-09-10,Bachelor's,4,No,Single,Hyderabad,Promoted
212,Employee_212,57,Male,Finance,Financial Analyst,130638,6,2012-05-17,PhD,4,No,Married,Delhi,Not Promoted
213,Employee_213,23,Female,Engineering,Senior Developer,85880,1,2012-02-06,PhD,5,No,Married,Pune,Not Promoted
214,Employee_214,60,Female,Finance,Financial Analyst,117458,6,2016-04-09,Master's,3,No,Married,Chennai,Promoted
215,Employee_215,32,Female,Operations,Logistics Coordinator,114122,10,2023-08-06,High School,2,No,Single,Hyderabad,Promoted
216,Employee_216,30,Male,Marketing,SEO Analyst,39381,7,2021-05-08,Bachelor's,5,No,Single,Chennai,Promoted
217,Employee_217,50,Male,Finance,Accountant,98769,1,2015-08-08,Bachelor's,4,No,Single,Chennai,Promoted
218,Employee_218,23,Male,Engineering,Senior Developer,101235,1,2014-03-09,PhD,1,No,Single,Bangalore,Not Promoted
219,Employee_219,45,Female,Operations,Operations Executive,34154,19,2018-03-22,PhD,4,No,Married,Bangalore,Not Promoted
220,Employee_220,59,Female,Engineering,Senior Developer,146730,29,2014-06-15,Master's,4,No,Divorced,Delhi,Not Promoted
221,Employee_221,37,Male,Operations,Logistics Coordinator,134910,6,2019-08-15,Master's,4,No,Married,Pune,Promoted
222,Employee_222,44,Male,Marketing,SEO Analyst,76353,18,2016-05-07,High School,3,No,Divorced,Bangalore,Promoted
223,Employee_223,27,Male,Sales,Sales Executive,46318,5,2015-05-28,Master's,3,No,Single,Delhi,Promoted
224,Employee_224,23,Male,Engineering,Software Engineer,116115,0,2018-01-09,Bachelor's,4,No,Divorced,Hyderabad,Not Promoted
225,Employee_225,49,Male,Sales,Sales Manager,53114,3,2013-01-25,PhD,2,No,Single,Bangalore,Promoted
226,Employee_226,29,Other,Engineering,QA Engineer,124313,0,2016-07-14,PhD,1,No,Married,Delhi,Not Promoted
227,Employee_227,25,Female,IT Support,IT Technician,130651,1,2021-09-12,High School,1,No,Single,Chennai,Promoted
